1848.HK,CALC,Aerospace & Defense,8480060416
232.HK,AVIC INTL HLDGS,Aerospace & Defense,5188415488
155.HK,CHINA SOLAR ENER,Alternative Energy,276934720
2468.HK,TRONY SOLAR,Alternative Energy,998350592
8261.HK,HAITIAN HYDROPOW,Alternative Energy,3060000000
586.HK,CONCH VENTURE,Alternative Energy,37719273472
3800.HK,GCL-POLY ENERGY,Alternative Energy,37638967296
968.HK,XINYI SOLAR HLDS,Alternative Energy,19147800576
686.HK,UNITED PHOTOVOLT,Alternative Energy,5689519616
1165.HK,SFCE,Alternative Energy,18004453376
750.HK,CHINA SINGYES SO,Alternative Energy,9385046016
916.HK,CHINA LONGYUAN-H,Alternative Energy,78595883008
8128.HK,C G SOURCE ENGY,Alternative Energy,1398619264
757.HK,SOLARGIGA ENERGY,Alternative Energy,1284712192
658.HK,CHINA HIGH-SPEED,Alternative Energy,11316217856
958.HK,HUANENG RENEWA-H,Alternative Energy,32199667712
712.HK,COMTEC SOLAR,Alternative Energy,1781544704
1139.HK,VICTORY GROUP,Automobiles & Parts,425277472
881.HK,ZHONGSHENG GROUP,Automobiles & Parts,13115157504
1114.HK,BRILLIANCE CHINA,Automobiles & Parts,75788599296
175.HK,GEELY AUTOMOBILE,Automobiles & Parts,39254450176
1958.HK,BAIC MOTOR-H,Automobiles & Parts,81118208000
2357.HK,AVICHINA INDUS-H,Automobiles & Parts,48831909888
613.HK,YUGANG INTL,Automobiles & Parts,1284128256
3663.HK,XIEZHONG INTERNA,Automobiles & Parts,1384000000
8135.HK,ZMFY AUTOMOBILE,Automobiles & Parts,344500000
360.HK,NEW FOCUS AUTO T,Automobiles & Parts,3121766912
305.HK,WULING MOTORS HO,Automobiles & Parts,1047415168
693.HK,TAN CHONG INTL,Automobiles & Parts,5617132032
2238.HK,GUANGZHOU AUTO-H,Automobiles & Parts,80629121024
1187.HK,HAN TANG INTL,Automobiles & Parts,412713824
819.HK,TIANNENG POWER,Automobiles & Parts,4247488512
2339.HK,BEIJINGWEST INDU,Automobiles & Parts,1865471616
422.HK,VIETNAM MANUFACT,Automobiles & Parts,453840000
868.HK,XINYI GLASS,Automobiles & Parts,18784501760
489.HK,DONGFENG MOTOR-H,Automobiles & Parts,115284000000
1211.HK,BYD CO LTD-H,Automobiles & Parts,166766000000
1148.HK,XINCHEN CHINA PO,Automobiles & Parts,4724786688
1269.HK,CHINA VEHICLE CO,Automobiles & Parts,1205760000
2333.HK,GREAT WALL MOT-H,Automobiles & Parts,203910000000
3836.HK,CHINA HARMONY AU,Automobiles & Parts,12999530496
6830.HK,HUAZHONG IN-V,Automobiles & Parts,1552000000
729.HK,FDG EVEHICLES,Automobiles & Parts,10362379264
8126.HK,GA HOLDINGS LTD,Automobiles & Parts,361988000
8273.HK,ZHEJIANG PROS-H,Automobiles & Parts,186138000
1899.HK,XINGDA INTL,Automobiles & Parts,3684562688
1241.HK,SHUANGHUA HLDGS,Automobiles & Parts,409500000
872.HK,JINHENG AUTO SAF,Automobiles & Parts,456828960
1188.HK,HYBRID KINETIC G,Automobiles & Parts,6741814784
425.HK,MINTH GROUP LTD,Automobiles & Parts,21242939392
1316.HK,NEXTEER,Automobiles & Parts,21206355968
939.HK,CCB-H,Banks,1908540000000
6138.HK,HARBIN BANK-H,Banks,32876843008
3618.HK,CQRC BANK-H,Banks,61845000192
3988.HK,BANK OF CHINA-H,Banks,1685580000000
998.HK,CITIC BANK-H,Banks,419921000000
3698.HK,HUISHANG BANK-H,Banks,44088778752
2356.HK,DAHSING BANKING,Banks,22034751488
2388.HK,BOC HONG KONG HO,Banks,328813000000
1963.HK,BANK OF CHONGQ-H,Banks,21912098816
1111.HK,CHONG HING BANK,Banks,10157249536
11.HK,HANG SENG BANK,Banks,287541000000
23.HK,BANK EAST ASIA,Banks,87155228672
3328.HK,BANKCOMM-H,Banks,611959000000
440.HK,DAH SING,Banks,17340135424
2066.HK,SHENGJINGBANK-H,Banks,52170121216
828.HK,DYNASTY FINE WIN,Beverages,1797408000
389.HK,CHINA TONTINE,Beverages,744816640
756.HK,CHI TIANYI HOLD,Beverages,1199596032
2218.HK,YANTAI NORTH-H,Beverages,1099280000
8209.HK,MAJOR HOLDINGS,Beverages,1036800000
359.HK,CHINA HAISHENG,Beverages,541800000
124.HK,GUANGDONG LAND H,Beverages,4210380544
886.HK,SILVER BASE GROU,Beverages,1902380416
345.HK,VITASOY INTL HLD,Beverages,13409750016
472.HK,JLF INVESTMENT C,Beverages,1334825728
1446.HK,HUNGFOOKTONG,Beverages,511446016
236.HK,SAN MIGUEL BREWE,Beverages,545412992
1115.HK,TIBET 5100 WATER,Beverages,7655301120
1886.HK,CHINA HUIYUAN,Beverages,7596824576
220.HK,UNI-PRESIDENT CH,Beverages,27298191360
2168.HK,YINGDE GASES GRP,Chemicals,12654546944
827.HK,KO YO CHEMICAL G,Chemicals,5466980864
297.HK,SINOFERT HOLDING,Chemicals,15032335360
549.HK,JILIN QIFENG-H,Chemicals,592357824
67.HK,LUMENA NEWMAT,Chemicals,7004824064
546.HK,FUFENG GROUP LTD,Chemicals,12657717248
1888.HK,KB LAMINATES,Chemicals,12240000000
2198.HK,CHINA SANJIANG F,Chemicals,3326898432
1329.HK,JUDA INTERNATION,Chemicals,936000000
8258.HK,SHAANXI NEW TE-H,Chemicals,273000000
1866.HK,CHINA XLX FERTIL,Chemicals,3100000000
509.HK,CENTURY SUNSHINE,Chemicals,2179678976
954.HK,CHANGMAO BIOCH-H,Chemicals,561481984
2121.HK,CHINA FIRST CHEM,Chemicals,1435921920
174.HK,GEMINI INV,Chemicals,627340032
336.HK,HUABAO INTL,Chemicals,23904018432
517.HK,COSCO INTERNATIO,Chemicals,6648035328
718.HK,BESTWAY INTL HLD,Chemicals,930862080
2228.HK,CECEP COSTIN NEW,Chemicals,2818411776
189.HK,DONGYUE GROUP,Chemicals,7053497856
408.HK,YIP'S CHEMICAL,Chemicals,2574076160
395.HK,SMARTAC GP CH,Chemicals,1599300224
640.HK,INFINITY CHEMICA,Chemicals,1120335360
8139.HK,CHANGAN RH-H,Chemicals,992000000
148.HK,KINGBOARD CHEM,Chemicals,15609635840
2299.HK,BILLION IND HLDG,Chemicals,7564508160
1073.HK,CHINA AGROTECH,Chemicals,245432480
1619.HK,TIANHE CHEMICALS,Chemicals,29018673152
582.HK,LANDING INTERNAT,Chemicals,1981802880
609.HK,TIANDE CHEMICAL,Chemicals,1524380416
769.HK,CHINA RARE EARTH,Chemicals,2960578304
2283.HK,TK GROUP HOLDING,Chemicals,1884647936
1047.HK,NGAI HING HONG,Chemicals,258440000
2341.HK,ECOGREEN INTERNA,Chemicals,1258004480
3983.HK,CHINA BLUECHEM-H,Chemicals,15535699968
3318.HK,CHINA FLAVOR FRA,Chemicals,811131200
385.HK,CHINNEY ALLIANCE,Chemicals,571103296
362.HK,CHINA ZENITH CHE,Chemicals,2009733632
8201.HK,PPS INTERNATIONA,Construction & Materials,1500000000
